Price,Returns,Volatility,Momentum,Intraday_Range,Regime,gamma_0,gamma_1,gamma_2
2008-03-17,-0.0089990540836312,0.2254845626712048,-0.6607140682372388,0.0239072693991254,2,1.4210478010743352e-15,0.013050324507756717,0.9869496754940144
2008-03-18,0.0415348964290097,0.2725187730015347,-0.17234407964522,0.0402632794143736,2,3.215148528099851e-42,6.85344774042306e-09,0.9999999931460479
2008-03-19,-0.0245869966260836,0.2848302661914875,-0.4566279283538477,0.0331864607460783,2,6.268463341215391e-35,3.013881960875775e-06,0.999996986117361
2008-03-20,0.0236622861241418,0.2964345706071924,-0.2723558307232797,0.0266640137959073,2,2.3459879102580266e-31,4.226552129829915e-06,0.9999957734488095
2008-03-24,0.0152052425852151,0.2982690423954833,0.0655174546290981,0.0217723164593351,2,1.5251847549628574e-26,3.409321656553243e-05,0.9999659067825831
2008-03-25,0.002301247732709,0.2971071197815965,-0.0010642189277451,0.0120178344873108,2,1.0407787813621676e-23,5.66396541005239e-05,0.9999433603477071
2008-03-26,-0.0088044051386296,0.2942302548564983,-0.271334830264651,0.0119600015910381,2,2.520691398945005e-24,3.237597104801871e-05,0.9999676240297671
2008-03-27,-0.011526658548939,0.294861416300358,-0.4923838337687776,0.0150554857519262,2,1.5946977313894717e-25,2.904699997846161e-05,0.999970952998277
2008-03-28,-0.0079819575314157,0.2955633776820481,-0.5771289147486008,0.0166664470077913,2,1.141801163916966e-25,3.9119866049432245e-05,0.9999608801348117
2008-03-31,0.005671135392827,0.2957418735995664,-0.4012901741494647,0.0118771917422249,2,4.98343716944278e-25,3.8982200117307376e-05,0.9999610178014674
2008-04-01,0.0352670921363933,0.3062475709204676,0.3514756717196966,0.0319447209968537,2,1.0481333805052763e-37,1.6006122470682246e-08,0.9999999839928934
2008-04-02,-0.001935942931411,0.3064544762585336,0.321843434259067,0.0119923526302249,2,1.3883436102247837e-28,1.4847028200220129e-05,0.9999851529730096
2008-04-03,0.0013007917822774,0.3059719000436666,0.3788959607491386,0.0124003912497276,2,2.52744229060201e-25,1.9988146335932242e-05,0.999980011852717
2008-04-04,0.0007956797214259,0.305677740218049,0.3257482536944332,0.0131932850283846,2,4.573520505161781e-25,2.791259713950469e-05,0.9999720874041758
2008-04-07,0.0015603804918229,0.293444816595536,0.6115911218934821,0.0129103488414286,2,5.73200599791117e-23,9.535045637422312e-05,0.9999046495418389
2008-04-08,-0.0051130829272386,0.2921129348856899,0.6515852652268155,0.0069862756049611,2,1.7605246806568093e-23,0.00035090593752464834,0.9996490940629971
2008-04-09,-0.0081249908997769,0.2873711517963392,0.7410968039414438,0.0135992470067092,2,5.767486250556854e-22,0.00848860577600897,0.9915113942228863
2008-04-10,0.0044640731409255,0.2604672517040767,0.3571800902725938,0.0125904996273874,2,4.955874154092703e-16,0.09526430391248049,0.90473569608775
2008-04-11,-0.0205845974395006,0.2692317824259501,0.2186002613121273,0.0200850974347035,2,4.386905085459561e-19,0.12186535420728718,0.8781346457920061
2008-04-14,-0.0033895227619906,0.2691533143015208,0.1165601070796342,0.0071368200825669,2,9.634044469812268e-17,0.22889782354254437,0.7711021764577743
2008-04-15,0.0045893291868171,0.2577980397342433,0.423659350019375,0.0100192550969656,2,2.2220230335977247e-14,0.42397986200733234,0.5760201379920858
2008-04-16,0.0224376485954643,0.2643067999208827,0.8008997821685218,0.0208615541162807,2,7.976557000507175e-18,0.4929780438490747,0.5070219561517172
2008-04-17,0.0006227205936699,0.2244960625211431,0.3099536721444451,0.0083115901893217,1,1.888423826599793e-10,0.9576670357804766,0.042332964032033786
2008-04-18,0.0179764536061541,0.2108245555026445,0.8207150749312985,0.0193479427648931,1,3.1646781154888056e-11,0.9874344739008514,0.012565526068842174
2008-04-21,-0.0015547328014771,0.1977643094537933,0.5181108478238705,0.0079096797374649,1,9.347610878323001e-08,0.9995555609778211,0.00044434554605132196
2008-04-22,-0.0088492733031711,0.1951497624585603,0.2294566571632346,0.0120572761872654,1,6.980724148639334e-08,0.9999808049565763,1.912523755294379e-05
2008-04-23,0.0028957208430831,0.1952139962685223,0.2365903344877244,0.0113266645949046,1,2.2029925661679474e-07,0.9999942964076437,5.4832919746056595e-06
2008-04-24,0.0064216149002844,0.1927486425888328,0.4193025749546939,0.0191745553150846,1,2.6043288124177068e-08,0.9999860739686642,1.3899986551114048e-05
